BARRIO,COMUNA-CORREGIMIENTO
Miranda,Aranjuez
U.D. Atanasio Girardot,Laureles – Estadio
Patio Bonito,El Poblado
Manrique Oriental,Manrique
La Esperanza No.2,Popular
Pedregal,Doce de Octubre
Prado,La Candelaria
El Diamante No.2,El Poblado
Nueva Villa del Aburrá,Belén
Villa del Socorro,Santa cruz
Trece de Noviembre,Villa Hermosa
Doce de Octubre No.1,Doce de Octubre
La Loma de Los Bernal,Belén
Juan Pablo II,Buenos Aires
Villa Flora,Robledo
Tenche,Guayabal
Fátima,Belén
Oleoducto,Castilla
Boyacá,Castilla
Aldea Pablo VI,Popular
Villa Hermosa,Villa Hermosa
Las Lomas No.1,El Poblado
Santa Cruz,Santa cruz
Betania,San Javier
Kennedy,Doce de Octubre
Santa Fé,Guayabal
Terminal de Transporte,Castilla
Facultad de Minas,Robledo
La Rosa,Santa cruz
El Tesoro,El Poblado
Monteclaro,Robledo
La Mansión,Villa Hermosa
La Florida,El Poblado
Diego Echavarría,Belén
Los Alcázares,San Javier
Campo Valdés No.1,Aranjuez
San Benito,La Candelaria
Carlos E. Restrepo,Laureles – Estadio
Robledo,Robledo
Juan XXIII La Quiebra,San Javier
Veinte de Julio,San Javier
Altamira,Robledo
Hospital San Vicente de Paúl,La Candelaria
Las Lomas No.2,El Poblado
Tricentenario,Castilla
Villa Niza,Santa cruz
Laureles,Laureles – Estadio
Santa Rosa de Lima,San Javier
Santa Lucía,La América
La Floresta,La América
Las Mercedes,Belén
Boston,La Candelaria
Nueva Villa de La Iguaná,Robledo
El Castillo,El Poblado
San José La Cima No.1,Manrique
El Raizal,Manrique
Villa Guadalupe,Popular
El Poblado,El Poblado
Trinidad,Guayabal
La Palma,Belén
Naranjal,Laureles – Estadio
Doce de Octubre No.2,Doce de Octubre
Granizal,Popular
San Bernardo,Belén
Santo Domingo Savio No.1,Popular
El Danubio,La América
La Avanzada,Popular
Perpetuo Socorro,La Candelaria
San Lucas,El Poblado
Media Luna,Corregimiento Santa Elena
Barro Blanco,Corregimiento Santa Elena
Piedra Gorda,Corregimiento Santa Elena
San Pablo,Popular
Calasanz Parte Alta,La América
Aguas Frías,Corregimiento Altavista
Playón de Los Comuneros,Santa cruz
Alejandro Echavarría,Buenos Aires
Picacho,Doce de Octubre
Moscú No.2,Popular
El Chagualo,La Candelaria
Cristo Rey,Guayabal
Los Conquistadores,Laureles – Estadio
Asomadera No.3,Buenos Aires
La Gloria,Belén
El Pesebre,San Javier
Lalinde,El Poblado
Manrique Central No.1,Aranjuez
Las Independencias,San Javier
Parque Juan Pablo II,Guayabal
Moscú No.1,Santa cruz
Bosques de San Pablo,Robledo
Los Mangos,Villa Hermosa
Los Cerros El Vergel,Buenos Aires
Miravalle,Belén
El Rodeo,Guayabal
La Milagrosa,Buenos Aires
Alfonso López,Castilla
Olaya Herrera,Robledo
Facultad Veterinaria y Zootecnia U.de.A.,Robledo
Astorga,El Poblado
Caribe,Castilla
Aranjuez,Aranjuez
Manrique Central No.2,Manrique
San Antonio,Villa Hermosa
El Rincón,Belén
Sin Nombre,n1
Calasanz,La América
Bermejal-Los Álamos,Aranjuez
Jesús Nazareno,La Candelaria
Ocho de Marzo,Buenos Aires
Belencito,San Javier
Cerro Nutibara,Belén
Simón Bolívar,La América
Cucaracho,Robledo
Universidad de Antioquia,Aranjuez
San Javier No.2,San Javier
Brasilia,Aranjuez
Bolivariana,Laureles – Estadio
Berlín,Aranjuez
El Velódromo,Laureles – Estadio
Santa Mónica,La América
Belén,Belén
El Pomar,Manrique
Oriente,Manrique
La Isla,Santa cruz
La Sierra,Villa Hermosa
María Cano-Carambolas,Manrique
La Pilarica,Robledo
El Corazón,San Javier
Calle Nueva,La Candelaria
La Frontera,Santa cruz
Tejelo,Castilla
Lorena,Laureles – Estadio
La Francia,Santa cruz
Plaza de Ferias,Castilla
Miraflores,Buenos Aires
Los Ángeles,La Candelaria
Alejandría,El Poblado
Metropolitano,San Javier
Cuarta Brigada,Laureles – Estadio
Las Acacias,Laureles – Estadio
Los Naranjos,El Poblado
Aures No.1,Robledo
Cataluña,Buenos Aires
Sin Nombre,n2
Carpinelo,Popular
Andalucía,Santa cruz
La Castellana,Laureles – Estadio
Moravia,Aranjuez
U.P.B,Laureles – Estadio
Cerro Nutibara,Robledo
Mirador del Doce,Doce de Octubre
El Nogal-Los Almendros,Belén
El Triunfo,Doce de Octubre
Enciso,Villa Hermosa
La Esperanza,Doce de Octubre
Las Estancias,Villa Hermosa
Pablo VI,Popular
Ecoparque Cerro El Volador,Robledo
Versalles No.1,Manrique
Altos del Poblado,El Poblado
Universidad Nacional,Robledo
El Diamante,Robledo
Palenque,Robledo
Barrio Colombia,El Poblado
Rosales,Belén
Urquitá,Corregimiento San Sebastián de Palmitas
Potrera Miserenga,Corregimiento San Sebastián de Palmitas
Campo Amor,Guayabal
La Aguacatala,El Poblado
El Pinal,Villa Hermosa
Fuente Clara,Robledo
Santo Domingo Savio No.2,Popular
Las Granjas,Manrique
Barrios de Jesús,Buenos Aires
Toscana,Castilla
Los Pinos,La América
Gerona,Buenos Aires
Santa Teresita,La América
Francisco Antonio Zea,Castilla
La Mota,Belén
La Hondonada,Belén
Llanaditas,Villa Hermosa
Nuevos Conquistadores,San Javier
La América,La América
Loreto,Buenos Aires
Picachito,Doce de Octubre
La Alpujarra,La Candelaria
Corazón de Jesús,La Candelaria
Buenos Aires,Buenos Aires
Guayabal,Guayabal
Las Playas,Belén
Área de Expansión San Cristóbal,San Javier
Eduardo Santos,San Javier
Área de Expansión Altavista,Corregimiento Altavista
Área de Expansión Belén Rincón,Corregimiento Altavista
Cabecera Urbana Corregimiento San Cristóbal,Corregimiento San Cristóbal
San José del Manzanillo,Corregimiento Altavista
Santa Elena Sector Central,Corregimiento Santa Elena
Sevilla,Aranjuez
Santa Inés,Manrique
El Progreso,Castilla
Castropol,El Poblado
Belalcázar,Castilla
Guayaquil,La Candelaria
El Placer,Corregimiento Santa Elena
Altavista Sector Central,Corregimiento Altavista
El Salvador,Buenos Aires
Buga Patio Bonito,Corregimiento Altavista
La Esperanza,Corregimiento Altavista
El Plan,Corregimiento Santa Elena
El Jardín,Corregimiento Altavista
El Llano SE,Corregimiento Santa Elena
La Verde,Corregimiento San Antonio de Prado
El Cerro,Corregimiento Santa Elena
Montañita,Corregimiento San Antonio de Prado
San Antonio de Prado,Corregimiento San Antonio de Prado
La Florida,Corregimiento San Antonio de Prado
El Salado,Corregimiento San Antonio de Prado
Las Palmas,Corregimiento Santa Elena
San José,n3
Palmitas Sector Central,Corregimiento San Sebastián de Palmitas
Boquerón,Corregimiento San Cristóbal
El Carmelo,Corregimiento San Cristóbal
Área de Expansión El Noral,Corregimiento Altavista
Las Violetas,Belén
Santa María de Los Ángeles,El Poblado
La Pradera,San Javier
San Diego,La Candelaria
El Salado,San Javier
Bello Horizonte,Robledo
Villa Nueva,La Candelaria
Batallón Cuarta Brigada,Laureles – Estadio
Los Balsos No.1,El Poblado
Villa Carlota,El Poblado
El Compromiso,Popular
Pajarito,Robledo
La Libertad,Villa Hermosa
San Martín de Porres,Doce de Octubre
Las Brisas,Castilla
Villa Lilliam,Villa Hermosa
Santander,Doce de Octubre
Las Playas,Belén
San Pablo,Popular
Las Esmeraldas,Aranjuez
San Miguel,Villa Hermosa
Barrio Caicedo,Buenos Aires
B. Cerro El Volador,Robledo
Santa Margarita,Robledo
Suramericana,Laureles – Estadio
San Pedro,Aranjuez
Villa Turbay,Villa Hermosa
Eduardo Santos,San Javier
Asomadera No.1,Buenos Aires
Bomboná No.2,Buenos Aires
Popular,Popular
La Cruz,Manrique
San Germán,Robledo
Progreso No.2,Doce de Octubre
Las Palmas,La Candelaria
Barrio Cristóbal,La América
Girardot,Castilla
Los Balsos No.2,El Poblado
Los Colores,Laureles – Estadio
Palermo,Aranjuez
San Joaquín,Laureles – Estadio
La Candelaria,La Candelaria
Manila,El Poblado
Batallón Girardot,Villa Hermosa
Villatina,Villa Hermosa
Barrio Colón,La Candelaria
Jardín Botánico,Aranjuez
San Isidro,Aranjuez
San José La Cima No.2,Manrique
Antonio Nariño,San Javier
Ferrini,La América
La Ilusión,Corregimiento San Cristóbal
Córdoba,Robledo
Estación Villa,La Candelaria
Florencia,Castilla
Cementerio Universal,Castilla
Aures No.2,Robledo
Blanquizal,San Javier
La Ladera,Villa Hermosa
Asomadera No.2,Buenos Aires
Parque Norte,Aranjuez
Sucre,Villa Hermosa
La Palma,Corregimiento San Cristóbal
El Astillero,Corregimiento San Antonio de Prado
Potrerito,Corregimiento San Antonio de Prado
Área de Expansión Pajarito,Corregimiento San Cristóbal
Área de Expansión San Antonio de Prado,Corregimiento San Antonio de Prado
La Loma,Corregimiento San Cristóbal
Yarumalito,Corregimiento San Antonio de Prado
Mazo,Corregimiento Santa Elena
El Corazón El Morro,Corregimiento Altavista
La Salle,Manrique
La Piñuela,Aranjuez
López de  Mesa,Robledo
Yolombo,Corregimiento San Cristóbal
El Picacho,Corregimiento San Cristóbal
La Cuchilla,Corregimiento San Cristóbal
El Llano,Corregimiento San Cristóbal
La Colina,Guayabal
San Javier No.1,San Javier
Campo Alegre,La América
Altavista,Belén
La Sucia,Corregimiento San Sebastián de Palmitas
La Aldea,Corregimiento San Sebastián de Palmitas
Héctor Abad Gómez,Castilla
Castilla,Castilla
Florida Nueva,Laureles – Estadio
Estadio,Laureles – Estadio
El Socorro,San Javier
Versalles No.2,Manrique
Bomboná No.1,La Candelaria
Centro Administrativo,La Candelaria
Campo Valdés No.2,Manrique
Granada,Belén
Los Alpes,Belén
Facultad de Minas U. Nacional,Robledo
La Frisola,Corregimiento San Sebastián de Palmitas
Volcana Guayabal,Corregimiento San Sebastián de Palmitas
La Suiza,Corregimiento San Sebastián de Palmitas
San José de La Montaña,Corregimiento San Cristóbal
Naranjal,n4
Piedras Blancas - Matasano,Corregimiento Santa Elena
Pajarito,Corregimiento San Cristóbal
El Uvito,Corregimiento San Cristóbal
Travesías,Corregimiento San Cristóbal
Pedregal Alto,Corregimiento San Cristóbal
El Patio,Corregimiento San Cristóbal
